Company,Country,State,City,Zip,External ID,Lead created at,Free trial started at
CA Printing Company,US,California,San Fancisco,,scus_001,2024-05-04,2024-05-04
Calm Nature Ltd.,US,California,Los Angeles,,scus_002,2024-05-18,2024-05-18
Cool Berry Farms,US,New York,New York,,scus_003,2024-06-14,2024-06-14
Nutty Inc.,US,Ohio,Cleveland,,scus_004,2024-06-28,2024-06-28
Orange Tech Ltd.,US,Illinois,Chicago,,scus_005,2024-07-19,2024-07-19
Cheffy's Corner,GB,England,London,E17 8EG,scus_006,2024-07-28,2024-07-28
Miami Aircon Manufacturing,GB,England,London,E17 8EG,scus_007,2024-08-09,2024-08-09
Jet Engines Warehouse,GB,England,London,E17 8EG,scus_008,2024-08-18,2024-08-18
All-is-well Co.,GB,England,London,E17 8EG,scus_009,2024-09-23,2024-09-23
Full of Energy Fixtures Corp.,GB,England,London,E17 8EG,scus_010,2024-10-02,2024-10-02
Heavenly Brewery Inc.,DE,Berlin,Berlin,10115,scus_011,2024-10-11,2024-10-11
Lois Supermarket,DE,Berlin,Berlin,10115,scus_012,2024-10-21,2024-10-21
Spam and Eggs Records,DE,Berlin,Berlin,10115,scus_013,2024-11-04,2024-11-04
Hunter Technologies,DE,Berlin,Berlin,10115,scus_014,2024-11-13,2024-11-13
Oliver's Corp.,DE,Berlin,Berlin,10115,scus_015,2024-12-13,2024-12-13
Hilly Side Inc.,CA,British Columbia,Vancouver,V5H 3Z7,scus_016,2025-01-18,2025-01-18
Happy Horse Inc.,CA,British Columbia,Vancouver,V5H 3Z7,scus_017,2025-02-17,2025-02-17
No Failed Payments Inc.,CA,British Columbia,Vancouver,V5H 3Z7,scus_018,2025-03-04,2025-03-04
Fancy Name Inc.,CA,British Columbia,Vancouver,V5H 3Z7,scus_019,2025-03-25,2025-03-25
Newborn Films,CA,British Columbia,Vancouver,V5H 3Z7,scus_020,2025-04-15,2025-04-15
Howdy-do Corp.,CA,British Columbia,Vancouver,V5H 3Z7,scus_021,2025-04-20,2025-04-20
