Invoice external ID,External ID,Subscription external ID,Subscription set external ID,Type,Amount in cents,Plan,Service period start,Service period end,Quantity,Proration,Discount code,Discount amount,Tax amount,Description,Transaction fee,Account Code,Transaction fees currency,Discount description,Event order,Balance transfer,Proration type
inv_001,,sub_0001,,Subscription,500,gold_monthly,2024-05-04,2024-06-04,1,FALSE,,0,0,,0,,,,,,
inv_001,,,,OneTime,10000,,2024-05-04,2024-05-04,1,FALSE,,0,0,Setup fee,0,,,,,,
inv_002,,sub_0001,,Subscription,1000,gold_monthly,2024-06-04,2024-07-04,2,FALSE,,0,0,,0,,,,,,
inv_003,,sub_0001,,Subscription,1500,gold_monthly,2024-07-05,2024-08-05,3,FALSE,,0,0,,0,,,,,,
inv_004,,sub_0001,,Subscription,500,gold_monthly,2024-08-04,2024-09-04,1,FALSE,,0,0,,0,,,,,,
inv_005,,sub_0001,,Subscription,500,gold_monthly,2024-09-04,2024-10-04,1,FALSE,,0,0,,0,,,,,,
inv_005,,,,OneTime,5000,,2024-09-04,2024-09-04,1,FALSE,,0,0,Setup fee,0,,,,,,
inv_005,,,,OneTime,5000,,2024-09-04,2024-09-04,1,FALSE,,0,0,Professional services,0,,,,,,
inv_006,,sub_0001,,Subscription,2000,gold_monthly,2024-10-04,2024-11-04,4,FALSE,,0,0,,0,,,,,,
inv_007,,sub_0001,,Subscription,1000,gold_monthly,2024-11-04,2024-12-04,2,FALSE,,0,0,,0,,,,,,
inv_008,,sub_0001,,Subscription,500,gold_monthly,2024-12-05,2025-01-05,1,FALSE,,0,0,,0,,,,,,
inv_009,,sub_0001,,Subscription,500,gold_monthly,2025-01-03,2025-02-03,1,FALSE,,0,0,,0,,,,,,
inv_010,,sub_0001,,Subscription,500,gold_monthly,2025-02-03,2025-03-03,1,FALSE,,0,0,,0,,,,,,
inv_010,,sub_0001a,,Subscription,350,platinum_monthly,2025-02-03,2025-03-03,1,FALSE,50-OFF,350,0,,0,,,,,,
inv_011,,sub_0001,,Subscription,500,gold_monthly,2025-03-05,2025-04-05,1,FALSE,,0,0,,0,,,,,,
inv_011,,sub_0001a,,Subscription,350,platinum_monthly,2025-03-05,2025-04-05,1,FALSE,50-OFF,350,0,,0,,,,,,
inv_012,,sub_0001,,Subscription,1000,gold_monthly,2025-04-05,2025-05-05,2,FALSE,,0,0,,0,,,,,,
inv_012,,sub_0001a,,Subscription,350,platinum_monthly,2025-04-05,2025-05-05,1,FALSE,50-OFF,350,0,,0,,,,,,
inv_013,,,,OneTime,10000,,2024-05-18,2024-05-18,1,FALSE,,0,0,Professional services,0,,,,,,
inv_014,,sub_0003,,Subscription,1500,gold_quarterly,2024-06-14,2024-09-14,1,FALSE,,0,0,,0,,,,,,
inv_015,,sub_0003,,Subscription,3000,gold_quarterly,2024-09-14,2024-12-14,2,FALSE,,0,0,,0,,,,,,
inv_016,,sub_0003,,Subscription,1500,gold_quarterly,2024-12-15,2025-03-15,1,FALSE,,0,0,,0,,,,,,
inv_017,,sub_0004,,Subscription,500,gold_monthly,2024-06-28,2024-07-28,1,FALSE,,0,0,,0,,,,,,
inv_018,,sub_0004,,Subscription,1000,gold_monthly,2024-07-29,2024-08-29,2,FALSE,,0,0,,0,,,,,,
inv_019,,sub_0004,,Subscription,500,gold_monthly,2024-08-28,2024-09-28,1,FALSE,,0,0,,0,,,,,,
inv_020,,sub_0004,,Subscription,500,gold_monthly,2024-09-28,2024-10-28,1,FALSE,,0,0,,0,,,,,,
inv_021,,sub_0004,,Subscription,1000,gold_monthly,2024-10-28,2024-11-28,2,FALSE,,0,0,,0,,,,,,
inv_022,,sub_0004,,Subscription,500,gold_monthly,2024-11-28,2024-12-28,1,FALSE,,0,0,,0,,,,,,
inv_023,,sub_0004,,Subscription,500,gold_monthly,2024-12-29,2025-01-29,1,FALSE,,0,0,,0,,,,,,
inv_024,,sub_0004,,Subscription,1000,gold_monthly,2025-01-27,2025-02-27,2,FALSE,,0,0,,0,,,,,,
inv_025,,sub_0004,,Subscription,700,platinum_monthly,2025-02-27,2025-03-27,1,FALSE,,0,0,,0,,,,,,
inv_026,,sub_0004,,Subscription,2100,platinum_monthly,2025-04-21,2025-05-21,3,FALSE,,0,0,,0,,,,,,
inv_027,,sub_0004,,Subscription,1500,platinum_monthly,2025-04-27,2025-05-27,1,FALSE,,0,0,,0,,,,,,
inv_028,,sub_0005,,Subscription,4200,platinum_annual,2024-07-19,2025-07-19,1,FALSE,50-OFF,4200,0,,0,,,,,,
inv_029,,sub_0006,,Subscription,375,gold_monthly,2024-07-28,2024-08-28,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_030,,sub_0006,,Subscription,750,gold_monthly,2024-08-27,2024-09-27,2,FALSE,25-OFF,250,0,,0,,,,,,
inv_031,,sub_0006,,Subscription,375,gold_monthly,2024-09-27,2024-10-27,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_032,,sub_0006,,Subscription,375,gold_monthly,2024-10-27,2024-11-27,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_033,,sub_0006,,Subscription,750,gold_monthly,2024-11-27,2024-12-27,2,FALSE,25-OFF,250,0,,0,,,,,,
inv_034,,sub_0006,,Subscription,750,gold_monthly,2024-12-28,2025-01-28,2,FALSE,25-OFF,250,0,,0,,,,,,
inv_035,,sub_0006,,Subscription,375,gold_monthly,2025-01-26,2025-02-26,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_036,,sub_0006,,Subscription,375,gold_monthly,2025-02-26,2025-03-26,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_037,,sub_0006,,Subscription,375,gold_monthly,2025-03-28,2025-04-28,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_038,,sub_0006,,Subscription,375,gold_monthly,2025-04-28,2025-05-28,1,FALSE,25-OFF,125,0,,0,,,,,,
inv_039,,sub_0007,,Subscription,700,platinum_monthly,2024-08-09,2024-09-09,1,FALSE,,0,0,,0,,,,,,
